,pref,city,town,other,lon_min,lat_min,lon_max,lat_max
5230,北海道,札幌市手稲区,手稲本町三条１丁目,,141.24099086006888,43.113482242752006,141.2446165602341,43.11575628581302
5231,北海道,札幌市手稲区,手稲本町三条２丁目,,141.23944723443765,43.11422994820374,141.24333891869733,43.116881629061716
5232,北海道,札幌市手稲区,手稲本町三条３丁目,,141.23814506390778,43.116229070486135,141.24181399940548,43.11882192354971
5233,北海道,札幌市手稲区,手稲本町三条４丁目,,141.23414163413403,43.11807593356047,141.23919756821303,43.12145437383942
5234,北海道,札幌市手稲区,手稲本町四条１丁目,,141.2399946355078,43.112497376947935,141.24266331797713,43.11422994820374
5235,北海道,札幌市手稲区,手稲本町四条２丁目,,141.23861114251727,43.113698457662416,141.24099086006888,43.116229070486135
5236,北海道,札幌市手稲区,手稲本町四条３丁目,,141.2370824804252,43.11586755725314,141.23944723443765,43.11766842843746
5237,北海道,札幌市手稲区,手稲本町四条４丁目,,141.23224978679332,43.11706212603751,141.2384293285875,43.119908108451554
5238,北海道,札幌市手稲区,手稲本町五条１丁目,,141.23819864185154,43.1108979344143,141.241522269971,43.11350936684227
5239,北海道,札幌市手稲区,手稲本町五条２丁目,,141.23526366904926,43.11225009718461,141.24023113477966,43.115897823287675
5240,北海道,札幌市手稲区,手稲本町五条３丁目,,141.23380249029935,43.11488817207885,141.23777256556292,43.11729650907062
5241,北海道,札幌市手稲区,手稲本町五条４丁目,,141.2300659740171,43.115866633822144,141.23604433179602,43.11846155838504
5242,北海道,札幌市手稲区,手稲本町六条３丁目,,141.23249198206807,43.113031396869346,141.2352562841829,43.115866633822144
5243,北海道,札幌市手稲区,手稲本町六条４丁目,,141.22752026479927,43.11501185829709,141.23380249029935,43.117574081722246
5244,北海道,札幌市手稲区,富丘一条３丁目,,141.25488739487287,43.10678816943379,141.25996671138535,43.11101517405447
5245,北海道,札幌市手稲区,富丘一条４丁目,,141.25250358092038,43.10772451150861,141.25893592947733,43.1126332176961
5246,北海道,札幌市手稲区,富丘一条５丁目,,141.25043855201721,43.10926036772605,141.25625488509013,43.11314869407719
